average_speed,datetime,name,hourly_volume,volume
39.0,2025-11-01 23:55:00,e_w_01_0,16,1
33.0,2025-11-01 23:55:00,e_w_01_1,19,2
36.0,2025-11-01 23:55:00,e_w_01_2,4,0
0.0,2025-11-01 23:55:00,e_n_0,0,0
46.0,2025-11-01 23:55:00,w_e_01_2,18,2
1.0,2025-11-01 23:55:00,e_n_1,1,0
16.0,2025-11-01 23:55:00,w_s_0,6,0
24.0,2025-11-01 23:55:00,w_e_01_0,27,2
29.0,2025-11-01 23:55:00,w_e_01_1,19,2
27.0,2025-11-01 23:55:00,n_s_01_1,28,2
27.0,2025-11-01 23:55:00,n_s_01_0,19,2
41.0,2025-11-01 23:50:00,e_w_01_0,27,2
34.0,2025-11-01 23:50:00,e_w_01_1,28,2
23.0,2025-11-01 23:50:00,e_w_01_2,1,0
0.0,2025-11-01 23:50:00,e_n_0,0,0
38.0,2025-11-01 23:50:00,w_e_01_2,8,1
1.0,2025-11-01 23:50:00,e_n_1,2,0
29.0,2025-11-01 23:50:00,w_s_0,8,1
19.0,2025-11-01 23:50:00,w_e_01_0,25,2
29.0,2025-11-01 23:50:00,w_e_01_1,26,2
16.0,2025-11-01 23:50:00,n_s_01_1,49,4
22.0,2025-11-01 23:50:00,n_s_01_0,28,2
30.0,2025-11-01 23:45:00,e_w_01_0,20,2
41.0,2025-11-01 23:45:00,e_w_01_1,23,2
64.0,2025-11-01 23:45:00,e_w_01_2,5,0
0.0,2025-11-01 23:45:00,e_n_0,0,0
40.0,2025-11-01 23:45:00,w_e_01_2,15,1
0.0,2025-11-01 23:45:00,e_n_1,1,0
27.0,2025-11-01 23:45:00,w_s_0,3,0
32.0,2025-11-01 23:45:00,w_e_01_0,22,2
32.0,2025-11-01 23:45:00,w_e_01_1,28,2
16.0,2025-11-01 23:45:00,n_s_01_1,33,3
24.0,2025-11-01 23:45:00,n_s_01_0,28,2
34.0,2025-11-01 23:40:00,e_w_01_0,19,2
34.0,2025-11-01 23:40:00,e_w_01_1,29,2
90.0,2025-11-01 23:40:00,e_w_01_2,1,0
0.0,2025-11-01 23:40:00,e_n_0,0,0
42.0,2025-11-01 23:40:00,w_e_01_2,26,2
1.0,2025-11-01 23:40:00,e_n_1,3,0
31.0,2025-11-01 23:40:00,w_s_0,8,1
18.0,2025-11-01 23:40:00,w_e_01_0,21,2
30.0,2025-11-01 23:40:00,w_e_01_1,31,3
20.0,2025-11-01 23:40:00,n_s_01_1,44,4
25.0,2025-11-01 23:40:00,n_s_01_0,34,3
39.0,2025-11-01 23:35:00,e_w_01_0,30,2
34.0,2025-11-01 23:35:00,e_w_01_1,22,2
45.0,2025-11-01 23:35:00,e_w_01_2,6,0
0.0,2025-11-01 23:35:00,e_n_0,0,0
27.0,2025-11-01 23:35:00,w_e_01_2,18,2
1.0,2025-11-01 23:35:00,e_n_1,2,0
31.0,2025-11-01 23:35:00,w_s_0,10,1
23.0,2025-11-01 23:35:00,w_e_01_0,29,2
34.0,2025-11-01 23:35:00,w_e_01_1,29,2
21.0,2025-11-01 23:35:00,n_s_01_1,52,4
25.0,2025-11-01 23:35:00,n_s_01_0,28,2
40.0,2025-11-01 23:30:00,e_w_01_0,21,2
38.0,2025-11-01 23:30:00,e_w_01_1,23,2
51.0,2025-11-01 23:30:00,e_w_01_2,4,0
